2y/b,Cl,Cdi
-1,0,0
-0.987805,0.0483945,0.0162582
-0.97561,0.051163,0.0103646
-0.963415,0.0539315,0.00819798
-0.95122,0.0567001,0.0066353
-0.939024,0.0594686,0.00559953
-0.926829,0.0622371,0.00491367
-0.914634,0.0650056,0.00445508
-0.902439,0.0677741,0.00415082
-0.890244,0.0705427,0.00395604
-0.878049,0.0733112,0.00384069
-0.865854,0.0760797,0.00378295
-0.853659,0.0788482,0.00375324
-0.841463,0.0810461,0.00373272
-0.829268,0.0827869,0.00375592
-0.817073,0.0845276,0.00383831
-0.804878,0.0862684,0.00396578
-0.792683,0.0880091,0.00411805
-0.780488,0.0897499,0.00427188
-0.768293,0.0914906,0.00440762
-0.756098,0.0932314,0.00451341
-0.743902,0.0951048,0.0045918
-0.731707,0.0971618,0.00464784
-0.719512,0.0992188,0.00468083
-0.707317,0.101276,0.00470235
-0.695122,0.103333,0.00472458
-0.682927,0.10539,0.00475796
-0.670732,0.107447,0.00480977
-0.658537,0.109504,0.00488262
-0.646341,0.111291,0.00496139
-0.634146,0.112357,0.00501784
-0.621951,0.113423,0.00507412
-0.609756,0.114489,0.00512245
-0.597561,0.115555,0.00515755
-0.585366,0.116621,0.00517776
-0.573171,0.117686,0.00518487
-0.560976,0.118752,0.00518324
-0.54878,0.119785,0.00517668
-0.536585,0.120392,0.00515344
-0.52439,0.121,0.00513642
-0.512195,0.121607,0.00512887
-0.5,0.122214,0.00513275
-0.487805,0.122822,0.0051485
-0.47561,0.123429,0.00517486
-0.463415,0.124036,0.00520933
-0.45122,0.124644,0.00524841
-0.439024,0.125377,0.00529292
-0.426829,0.126121,0.00533297
-0.414634,0.126864,0.00536442
-0.402439,0.127608,0.00538511
-0.390244,0.128351,0.0053941
-0.378049,0.129094,0.00539171
-0.365854,0.129838,0.00537949
-0.353659,0.130581,0.00536017
-0.341463,0.130988,0.00532305
-0.329268,0.131269,0.00528031
-0.317073,0.13155,0.00523985
-0.304878,0.131831,0.00520405
-0.292683,0.132111,0.00517482
-0.280488,0.132392,0.00515366
-0.268293,0.132673,0.00514117
-0.256098,0.132954,0.00513695
-0.243902,0.133091,0.00513406
-0.231707,0.133125,0.00513181
-0.219512,0.133158,0.00513167
-0.207317,0.133191,0.00513119
-0.195122,0.133225,0.00512843
-0.182927,0.133258,0.00512226
-0.170732,0.133292,0.00511247
-0.158537,0.133325,0.00509962
-0.146341,0.133454,0.00508858
-0.134146,0.133703,0.00508101
-0.121951,0.133952,0.00507388
-0.109756,0.1342,0.00506798
-0.097561,0.134449,0.00506423
-0.0853659,0.134697,0.00506315
-0.0731707,0.134946,0.00506533
-0.0609756,0.135195,0.00507096
-0.0487805,0.135391,0.00507782
-0.0365854,0.135323,0.00507713
-0.0243902,0.135254,0.00507777
-0.0121951,0.135186,0.00507864
0,0.135118,0.00508061
0.0121951,0.135049,0.00507907
0.0243902,0.134981,0.00507726
0.0365854,0.134913,0.00507632
0.0487805,0.134844,0.00507632
0.0609756,0.134724,0.00507682
0.0731707,0.134592,0.00507936
0.0853659,0.134461,0.00508409
0.097561,0.13433,0.00509036
0.109756,0.134199,0.00509716
0.121951,0.134068,0.00510322
0.134146,0.133937,0.00510701
0.146341,0.133806,0.00510705
0.158537,0.133584,0.00509838
0.170732,0.13329,0.00508125
0.182927,0.132996,0.00505911
0.195122,0.132702,0.00503381
0.207317,0.132407,0.00500794
0.219512,0.132113,0.00498436
0.231707,0.131819,0.00496579
0.243902,0.131525,0.00495396
0.256098,0.131214,0.00494832
0.268293,0.13088,0.00494725
0.280488,0.130546,0.00494905
0.292683,0.130212,0.00494999
0.304878,0.129879,0.0049468
0.317073,0.129545,0.00493634
0.329268,0.129211,0.004917
0.341463,0.128877,0.0048893
0.353659,0.128389,0.0048499
0.365854,0.12749,0.00479258
0.378049,0.12659,0.00473717
0.390244,0.12569,0.00468793
0.402439,0.124791,0.00464758
0.414634,0.123891,0.00461713
0.426829,0.122991,0.00459589
0.439024,0.122092,0.00458281
0.45122,0.121252,0.00457856
0.463415,0.121178,0.00460805
0.47561,0.121105,0.00464086
0.487805,0.121032,0.00467465
0.5,0.120959,0.0047067
0.512195,0.120886,0.00473414
0.52439,0.120812,0.00475497
0.536585,0.120739,0.00476838
0.54878,0.120666,0.00477689
0.560976,0.11968,0.00474819
0.573171,0.118624,0.00472117
0.585366,0.117567,0.00470381
0.597561,0.116511,0.00470231
0.609756,0.115455,0.00471968
0.621951,0.114398,0.00475654
0.634146,0.113342,0.00481077
0.646341,0.112285,0.00487852
0.658537,0.111379,0.00496139
0.670732,0.11053,0.00504937
0.682927,0.10968,0.00513253
0.695122,0.10883,0.00520207
0.707317,0.107981,0.00524834
0.719512,0.107131,0.00526233
0.731707,0.106281,0.00523811
0.743902,0.105431,0.00517502
0.756098,0.104112,0.00505578
0.768293,0.102453,0.00490022
0.780488,0.100794,0.00474528
0.792683,0.0991351,0.00461397
0.804878,0.0974761,0.00452717
0.817073,0.0958171,0.00449843
0.829268,0.0941581,0.00453449
0.841463,0.0924992,0.00463647
0.853659,0.0901436,0.00476576
0.865854,0.0869187,0.00487952
0.878049,0.0836938,0.00503383
0.890244,0.0804689,0.00526208
0.902439,0.0772439,0.00558884
0.914634,0.074019,0.00605051
0.926829,0.0707941,0.00670386
0.939024,0.0675692,0.00764205
0.95122,0.0643442,0.00901692
0.963415,0.0611193,0.0110159
0.97561,0.0578944,0.0135823
0.987805,0.0546695,0.0207906
1,0,0
