2y/b,Cl,Cdi
-1,0,0
-0.987805,0.0625019,0.033879
-0.97561,0.0649153,0.0175741
-0.963415,0.0673288,0.0120765
-0.95122,0.0697422,0.00940424
-0.939024,0.0721556,0.00783885
-0.926829,0.074569,0.0068177
-0.914634,0.0769824,0.00610949
-0.902439,0.0793958,0.00560269
-0.890244,0.0818092,0.00523577
-0.878049,0.0842226,0.00497057
-0.865854,0.086636,0.00478075
-0.853659,0.0890494,0.00463566
-0.841463,0.0914628,0.00453516
-0.829268,0.0935595,0.00448501
-0.817073,0.0950098,0.00446676
-0.804878,0.0964601,0.00450143
-0.792683,0.0979104,0.00457129
-0.780488,0.0993607,0.0046538
-0.768293,0.100811,0.00472757
-0.756098,0.102261,0.00477796
-0.743902,0.103712,0.00479776
-0.731707,0.105162,0.0047864
-0.719512,0.106431,0.00474098
-0.707317,0.107054,0.004651
-0.695122,0.107676,0.00455541
-0.682927,0.108299,0.00446286
-0.670732,0.108922,0.00437896
-0.658537,0.109545,0.00430647
-0.646341,0.110168,0.00424486
-0.634146,0.110791,0.00419134
-0.621951,0.111414,0.00414173
-0.609756,0.112021,0.00409249
-0.597561,0.112495,0.00403692
-0.585366,0.11297,0.00397913
-0.573171,0.113444,0.00392012
-0.560976,0.113918,0.0038624
-0.54878,0.114392,0.0038091
-0.536585,0.114867,0.00376311
-0.52439,0.115341,0.00372712
-0.512195,0.115815,0.00370274
-0.5,0.11629,0.0036904
-0.487805,0.116378,0.00367687
-0.47561,0.116466,0.00367167
-0.463415,0.116554,0.00367109
-0.45122,0.116642,0.00367073
-0.439024,0.11673,0.00366691
-0.426829,0.116818,0.00365697
-0.414634,0.116907,0.00363962
-0.402439,0.116995,0.00361502
-0.390244,0.117083,0.00358452
-0.378049,0.117678,0.00356545
-0.365854,0.118335,0.00354613
-0.353659,0.118992,0.00352667
-0.341463,0.119649,0.003509
-0.329268,0.120306,0.00349499
-0.317073,0.120963,0.00348659
-0.304878,0.12162,0.00348583
-0.292683,0.122278,0.0034948
-0.280488,0.122935,0.00351527
-0.268293,0.123128,0.00353478
-0.256098,0.123191,0.00356192
-0.243902,0.123254,0.0035975
-0.231707,0.123317,0.00363722
-0.219512,0.12338,0.00367655
-0.207317,0.123443,0.00371143
-0.195122,0.123506,0.00373892
-0.182927,0.123569,0.00375723
-0.170732,0.123632,0.00376695
-0.158537,0.123968,0.00377772
-0.146341,0.124438,0.00378722
-0.134146,0.124908,0.00379314
-0.121951,0.125377,0.00379694
-0.109756,0.125847,0.0037996
-0.097561,0.126317,0.00380169
-0.0853659,0.126786,0.00380336
-0.0731707,0.127256,0.00380438
-0.0609756,0.127726,0.00380414
-0.0487805,0.127689,0.00378677
-0.0365854,0.127248,0.0037543
-0.0243902,0.126807,0.00371788
-0.0121951,0.126365,0.00367733
0,0.125924,0.00360653
0.0121951,0.125483,0.00356096
0.0243902,0.125041,0.0035176
0.0365854,0.1246,0.00347871
0.0487805,0.124159,0.00344591
0.0609756,0.123834,0.003423
0.0731707,0.123656,0.00341053
0.0853659,0.123478,0.00340384
0.097561,0.1233,0.00340227
0.109756,0.123121,0.00340534
0.121951,0.122943,0.00341267
0.134146,0.122765,0.0034242
0.146341,0.122587,0.00343999
0.158537,0.122408,0.00346012
0.170732,0.122363,0.00348833
0.182927,0.122589,0.00352835
0.195122,0.122814,0.00357181
0.207317,0.12304,0.00361786
0.219512,0.123265,0.00366552
0.231707,0.123491,0.00371383
0.243902,0.123716,0.00376197
0.256098,0.123942,0.00380938
0.268293,0.124167,0.00385568
0.280488,0.124301,0.00389767
0.292683,0.124108,0.00392747
0.304878,0.123915,0.00395487
0.317073,0.123722,0.00397973
0.329268,0.123529,0.00400249
0.341463,0.123336,0.00402427
0.353659,0.123143,0.00404668
0.365854,0.12295,0.00407146
0.378049,0.122757,0.00410029
0.390244,0.122535,0.00413343
0.402439,0.12208,0.00416401
0.414634,0.121625,0.00419882
0.426829,0.12117,0.00423575
0.439024,0.120715,0.00427201
0.45122,0.12026,0.00430409
0.463415,0.119805,0.00432815
0.47561,0.11935,0.00434031
0.487805,0.118894,0.00433726
0.5,0.118439,0.00431756
0.512195,0.117829,0.00427677
0.52439,0.117219,0.0042249
0.536585,0.116608,0.00416869
0.54878,0.115998,0.00411655
0.560976,0.115387,0.00407737
0.573171,0.114777,0.00405842
0.585366,0.114166,0.00406366
0.597561,0.113556,0.00409375
0.609756,0.112946,0.0041468
0.621951,0.111963,0.00420586
0.634146,0.110934,0.00427868
0.646341,0.109906,0.00436271
0.658537,0.108878,0.00445313
0.670732,0.107849,0.00454409
0.682927,0.106821,0.00462823
0.695122,0.105792,0.00469638
0.707317,0.104764,0.00473836
0.719512,0.103735,0.00474481
0.731707,0.102115,0.00468289
0.743902,0.100328,0.00457247
0.756098,0.0985403,0.00442881
0.768293,0.096753,0.00426712
0.780488,0.0949657,0.00410916
0.792683,0.0931784,0.00397774
0.804878,0.0913911,0.0038911
0.817073,0.0896038,0.00385979
0.829268,0.0878165,0.00388837
0.841463,0.0858707,0.00396978
0.853659,0.0838472,0.00410614
0.865854,0.0818237,0.00426827
0.878049,0.0798002,0.00446648
0.890244,0.0777767,0.00473794
0.902439,0.0757533,0.00510645
0.914634,0.0737298,0.00560778
0.926829,0.0717063,0.0063007
0.939024,0.0696828,0.00729271
0.95122,0.0676593,0.00880663
0.963415,0.0656358,0.0113824
0.97561,0.0636123,0.0166659
0.987805,0.0615888,0.0322699
1,0,0
